owner,family,generated,Syncs,intensity,codes,Lagged,pattern_names,names
snrspeaks,snrspeaks_KeyPhraseTransformer,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
princeton-nlp,princeton-nlp_sup-simcse,automatic,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
valhalla,valhalla_t5-models,automatic,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
avsolatorio,avsolatorio_GIST,automatic,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
"HuggingFaceH4,HuggingFaceM4",HuggingFaceH4_alignment,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
allenai,allenai_allenai,automatic,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
microsoft,microsoft_DialoGPT,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
google,google_pegasus,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
upskyy,upskyy_kf-deberta,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
cardiffnlp,cardiffnlp_tweetnlp,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Falconsai,Falconsai_intent-classification,automatic,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
nielsr,nielsr_transformer,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
lmstudio-community,lmstudio-community_aya,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
prithivida,prithivida_grammar,automatic,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
facebook,facebook_contriever,automatic,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
